ID,SMILES,pIC50,Set
1,CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc3c(c2)OCO3)cc1,8.221848749616356,Train
2,C[C@H]1C[C@@H]1Cn1ncc(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccc(F)cc2)c1=O,6.872363747448347,Train
3,Cc1ccc(-n2c(C)ccc2-c2ccc(S(C)(=O)=O)cc2)cc1,7.398973915543969,Train
4,Cc1c(CCC(=O)O)cccc1NC(=O)[C@H](c1ccc(-c2cncc(C(F)(F)F)c2)cc1)C1CCCC1,6.703334809738469,Train
5,CCCCCCNC(=O)Oc1cccc(-c2ccc(C(C)C(=O)O)cc2N)c1,4.91721462968355,Train
6,Cc1nn(-c2ccc(S(N)(=O)=O)cc2)c(-c2ccccc2)c1Cl,7.552841968657781,Train
7,CCC#CCSc1ccccc1OC(C)=O,5.301029995663981,Train
8,CC(C(=O)[O-])c1ccc(C[C@H]2CCC[C@H]2O)cc1-c1ccc(O)cc1,4.769551078621726,Train
9,Cc1c(NC(=O)C(c2ccc(-c3cncc(C(F)(F)F)c3)cc2)C2CCCC2)cccc1C(CC(=O)O)C1CC1,7.603800652904264,Train
10,CCCCCCCCNC(=O)Oc1cccc(-c2ccc(C(C)C(=O)O)cc2F)c1,4.540607512240769,Train
11,CCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,7.0,Train
12,COC(=O)CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)C(=O)c1cn(S(=O)(=O)c2ccc(C)cc2)c2ccccc12,7.327902142064282,Train
13,COc1ccc(NC(=O)C(c2ccc(-c3cncc(C(F)(F)F)c3)cc2)C2CCCC2)c(C)c1CCC(=O)O,7.549750891680639,Train
14,Cc1cc(-c2c(-c3ccc(S(N)(=O)=O)cc3)ccc(F)c2F)ccc1Cl,8.51999305704285,Train
15,CS(=O)(=O)c1ccc(-c2c(-c3ccc(F)cc3)nn3ncccc23)cc1,7.4089353929735005,Train
