feature,pubchem_bit,permutation_importance_mean,permutation_importance_std
PubchemFP385,385,0.18206860103000294,0.032029188561008226
PubchemFP712,712,0.045209624013044444,0.009844782567472106
PubchemFP192,192,0.037946660787667154,0.0065564734432145555
PubchemFP561,561,0.03211586251772678,0.012176449752364425
PubchemFP147,147,0.024612479762354023,0.01062232877469962
PubchemFP422,422,0.02444890079265124,0.005607675331662558
PubchemFP688,688,0.024136321307275842,0.006847143755427211
PubchemFP193,193,0.023631738912288314,0.003507984002947072
PubchemFP299,299,0.021120537240655622,0.0027292347695786322
PubchemFP399,399,0.019830781627396987,0.0016204751876576404
PubchemFP420,420,0.016020974717001656,0.005394218133438161
PubchemFP576,576,0.015032913880207865,0.003737057667149866
PubchemFP667,667,0.013296216758809164,0.008632749109251098
PubchemFP16,16,0.01218075028748663,0.004221812531924347
PubchemFP715,715,0.011745571133110644,0.003640893507486
PubchemFP24,24,0.01135574618939188,0.004952490880372661
PubchemFP778,778,0.00971791057842455,0.0028103076825152853
PubchemFP530,530,0.007645753254612786,0.003597214239895507
PubchemFP593,593,0.007635632253009073,0.0017862165917370324
PubchemFP468,468,0.0068576608143427475,0.0022997326478305844
PubchemFP261,261,0.006333041839138987,0.0013169525096422081
PubchemFP349,349,0.005925034023504039,0.0015711741304244664
PubchemFP656,656,0.005740019356919368,0.005672411299385262
PubchemFP571,571,0.005564887496712934,0.000803955905436341
PubchemFP33,33,0.00502851810014372,0.0015239586587859424
PubchemFP500,500,0.004192825035683611,0.0016385101104408088
PubchemFP363,363,0.00414972640639053,0.0035298969298072176
PubchemFP609,609,0.004019365761177063,0.0004999480832923113
PubchemFP682,682,0.0038919123904334386,0.003284678288416464
PubchemFP617,617,0.003880773231590429,0.0031114561666569503
PubchemFP184,184,0.0036477371169484907,0.004009612895753378
PubchemFP516,516,0.0035420060191366566,0.0012116124900970614
PubchemFP259,259,0.0033142809771931512,0.0022495226811645687
PubchemFP14,14,0.003283279890127766,0.00042180599081738954
PubchemFP25,25,0.00307243220356751,0.00043513538563378593
PubchemFP13,13,0.0030231493022501166,0.0011921968479690803
PubchemFP338,338,0.0029784856310319683,0.0008858663391136266
PubchemFP698,698,0.002868863717092196,0.0018306668295795924
PubchemFP539,539,0.002866518000833096,0.0016085935100516222
PubchemFP758,758,0.002772554001948668,0.0013523635963005177
PubchemFP374,374,0.0027130716350538655,0.0009687891412939535
PubchemFP663,663,0.002696360134530029,0.0006465512970819041
PubchemFP20,20,0.002546593319622015,0.004967693853779494
PubchemFP592,592,0.0024674393991367394,0.0012991947626321144
PubchemFP153,153,0.0024558383142989195,0.0013919014501314806
PubchemFP725,725,0.0021611149091349978,0.0006598676686484872
PubchemFP386,386,0.002131862257044681,0.001059334761932619
PubchemFP143,143,0.0019718723639697623,0.0022184211127176563
PubchemFP533,533,0.0019484904445725038,0.0009313410313345495
PubchemFP738,738,0.0018927463814989664,0.0007603185174429564
PubchemFP553,553,0.0018679613415544915,0.0015550479914418
PubchemFP300,300,0.001854518536330807,0.0012833068360915277
PubchemFP377,377,0.001785489195649248,0.0010741587616730063
PubchemFP38,38,0.0017337355510366637,0.0009388859932241203
PubchemFP483,483,0.0017180543859335097,0.0019589414186034645
PubchemFP601,601,0.001571319260759285,0.0005502624701404023
PubchemFP393,393,0.0015083762871162976,0.0006620079745501962
PubchemFP622,622,0.0014602201058425911,0.0007967470513730864
PubchemFP621,621,0.0014565887381600584,0.0004142436670837001
PubchemFP459,459,0.0013885972771791265,0.0008393781956285131
PubchemFP15,15,0.0013710766796519059,0.0012365986545140426
PubchemFP480,480,0.0012774786276702477,0.0004404646798429931
PubchemFP586,586,0.0012561791872232719,0.0007564108212370245
PubchemFP513,513,0.0012495707068651773,0.0005565657836842959
PubchemFP540,540,0.0012274770710519523,0.0008355029473644894
PubchemFP639,639,0.0012179605050204989,0.001416010339042934
PubchemFP421,421,0.0012168533664405957,0.000458535982098991
PubchemFP636,636,0.0012056810726317146,0.0005792906708380123
PubchemFP519,519,0.0011445022674476224,0.00015625221485114822
PubchemFP515,515,0.0011318466617792565,0.0010667374173866497
PubchemFP729,729,0.0010939997848705475,0.0005696181409237042
PubchemFP379,379,0.0010671517062743273,0.0001733761391093891
PubchemFP457,457,0.00105556274259615,0.0005581795107620913
PubchemFP710,710,0.0010185042469136873,0.0005182111309228065
PubchemFP496,496,0.0009864144669719742,0.0008066471495249911
PubchemFP339,339,0.0009824946689366509,0.0003315965256217859
PubchemFP631,631,0.0009649969588894303,0.0002018289964394952
PubchemFP646,646,0.00093109688361942,0.0009233652933750213
PubchemFP432,432,0.0009036776916987122,0.0009736738173227233
PubchemFP389,389,0.0008951241084452111,0.0001219970461908497
PubchemFP375,375,0.0008170247562075738,0.00015321311267904152
PubchemFP616,616,0.0008099492930382146,0.00018132889289623663
PubchemFP590,590,0.0007896867688041209,0.0005783478142304645
PubchemFP596,596,0.0007896725870359056,7.72720730149596e-05
PubchemFP567,567,0.000740979129773256,0.00017037622124898842
PubchemFP412,412,0.0007379171781608962,0.0005667896506002088
PubchemFP777,777,0.0007321275389547855,0.0005228885325822086
PubchemFP504,504,0.0007114594650358463,0.00011991825697074248
PubchemFP417,417,0.0006989756460880181,0.0002469096628889618
PubchemFP340,340,0.0006890266684381307,0.0007340670460455076
PubchemFP536,536,0.000678806736535853,0.0007545777071614865
PubchemFP523,523,0.0006741824252587847,0.0006573974622994257
PubchemFP406,406,0.0006628293440809286,0.0010986055372881462
PubchemFP148,148,0.0006592290262119272,0.000606716943765119
PubchemFP150,150,0.0006542132924374333,0.000280958734597166
PubchemFP662,662,0.000647419114689085,0.00020432109815563435
PubchemFP436,436,0.0006449560052292247,0.0014717380224679025
PubchemFP503,503,0.0006395836818021916,0.0008584517483681487
PubchemFP450,450,0.000638805913445395,0.0001129697542107722
PubchemFP37,37,0.0006385195718967118,0.0005668746763934931
PubchemFP714,714,0.0006353552263863804,0.0007016802855475405
PubchemFP414,414,0.0006090943271872318,0.0004267038041874915
PubchemFP366,366,0.0005922049664007667,0.0007700914101128615
PubchemFP528,528,0.0005661466618822053,0.0003269205336297646
PubchemFP484,484,0.0005530776004466387,0.00012091451304041185
