feature,pubchem_bit,mean_abs_SHAP
PubchemFP385,385,0.2208110262196449
PubchemFP147,147,0.07332033800926513
PubchemFP712,712,0.07092493551281441
PubchemFP299,299,0.06739750039911997
PubchemFP420,420,0.062003615599687194
PubchemFP422,422,0.05794109137970554
PubchemFP192,192,0.05199673502882718
PubchemFP715,715,0.046303735153599285
PubchemFP778,778,0.04051230545829158
PubchemFP576,576,0.039489639315848535
PubchemFP667,667,0.03932714294542753
PubchemFP593,593,0.03381475207149118
PubchemFP184,184,0.03249257812208601
PubchemFP561,561,0.0323825007605731
PubchemFP24,24,0.02868445700728788
PubchemFP16,16,0.02765367011972027
PubchemFP193,193,0.027547582358323327
PubchemFP530,530,0.02541056428309385
PubchemFP259,259,0.022193071252013277
PubchemFP345,345,0.01979606970851488
PubchemFP609,609,0.018687236348514498
PubchemFP143,143,0.018085464007621194
PubchemFP468,468,0.01798507955426308
PubchemFP656,656,0.017826896852782007
PubchemFP20,20,0.016111212102521616
PubchemFP688,688,0.015956353794895278
PubchemFP483,483,0.014848745595163563
PubchemFP617,617,0.013635214739803714
PubchemFP500,500,0.012880990414369799
PubchemFP2,2,0.012157915681584919
PubchemFP399,399,0.01169844182824763
PubchemFP261,261,0.011409512592551997
PubchemFP539,539,0.01111103864890308
PubchemFP392,392,0.011070182584567127
PubchemFP181,181,0.011046164529124632
PubchemFP577,577,0.01046764553125775
PubchemFP614,614,0.01025833471894735
PubchemFP390,390,0.01015709199102838
PubchemFP738,738,0.010042057100411053
PubchemFP23,23,0.009890572807396487
PubchemFP300,300,0.009821861771686945
PubchemFP386,386,0.009506888355948245
PubchemFP37,37,0.00939942838063832
PubchemFP363,363,0.009141211077755857
PubchemFP305,305,0.008637782264347539
PubchemFP374,374,0.008238411677229171
PubchemFP346,346,0.00818473902534969
PubchemFP365,365,0.00791588324823608
PubchemFP515,515,0.007907114254080196
PubchemFP683,683,0.007675055038219288
PubchemFP696,696,0.0075890604062541465
PubchemFP335,335,0.007527027769208887
PubchemFP412,412,0.007472678382482315
PubchemFP338,338,0.007405269282875083
PubchemFP115,115,0.007274081154469642
PubchemFP186,186,0.006935418510947392
PubchemFP432,432,0.006766010886914254
PubchemFP153,153,0.00674581491312313
PubchemFP364,364,0.006700211712984608
PubchemFP13,13,0.0066789936574079166
PubchemFP443,443,0.0064987730789500394
PubchemFP447,447,0.0064344024794288045
PubchemFP116,116,0.006366073113384231
PubchemFP435,435,0.006332787761639223
PubchemFP820,820,0.006322290703508282
PubchemFP477,477,0.006315603336578621
PubchemFP14,14,0.0062895119836946884
PubchemFP180,180,0.006232910987725838
PubchemFP33,33,0.006188927036489379
PubchemFP516,516,0.006161064824871796
PubchemFP757,757,0.006151433218234564
PubchemFP493,493,0.006095479985741971
PubchemFP643,643,0.005766206318863486
PubchemFP612,612,0.005673624271246646
PubchemFP15,15,0.005580279229369837
PubchemFP459,459,0.005580122846738155
PubchemFP308,308,0.005492494268566735
PubchemFP523,523,0.005465116384164856
PubchemFP377,377,0.005373168870160027
PubchemFP357,357,0.0053618500442876235
PubchemFP503,503,0.005340237533716704
PubchemFP638,638,0.005315098653583944
PubchemFP600,600,0.005270801639363758
PubchemFP457,457,0.005256289063761172
PubchemFP646,646,0.005165253752504798
PubchemFP699,699,0.005047677257322814
PubchemFP146,146,0.005027636503426941
PubchemFP471,471,0.004886932728155098
PubchemFP621,621,0.004861558384678293
PubchemFP601,601,0.004782168212585394
PubchemFP540,540,0.004777862018713713
PubchemFP340,340,0.004726972525625862
PubchemFP507,507,0.004720803623496822
PubchemFP571,571,0.004670464935038591
PubchemFP682,682,0.0046645406240590995
PubchemFP144,144,0.004638559240182736
PubchemFP150,150,0.004570140541800264
PubchemFP586,586,0.004471294152991971
PubchemFP145,145,0.0044555409553141655
PubchemFP697,697,0.0044318899139660865
