feature,pubchem_bit,definition,mean_abs_SHAP,permutation_importance_mean,permutation_importance_std
PubchemFP385,385,C(:C)(:C)(:C),0.2208110262196449,0.18206860103000294,0.032029188561008226
PubchemFP147,147,>= 1 unsaturated non-aromatic carbon-only ring size 5,0.07332033800926513,0.024612479762354023,0.01062232877469962
PubchemFP712,712,C-C(C)-C(C)-C,0.07092493551281441,0.045209624013044444,0.009844782567472106
PubchemFP299,299,N-H,0.06739750039911997,0.021120537240655622,0.0027292347695786322
PubchemFP420,420,C=O,0.062003615599687194,0.016020974717001656,0.005394218133438161
PubchemFP422,422,N=N,0.05794109137970554,0.02444890079265124,0.005607675331662558
PubchemFP192,192,>= 3 any ring size 6,0.05199673502882718,0.037946660787667154,0.0065564734432145555
PubchemFP715,715,Cc1ccc(S)cc1,0.046303735153599285,0.011745571133110644,0.003640893507486
PubchemFP778,778,CC1CCC(S)CC1,0.04051230545829158,0.00971791057842455,0.0028103076825152853
PubchemFP576,576,N=C-C:C-[#1],0.039489639315848535,0.015032913880207865,0.003737057667149866
